id;canale;mittente;corso;tipologia;urgenza;operatore;stato;confidenza;assegnazione_automatica;riassunto;testo;bozza_risposta
R001;email;Comune di Cascina, Ufficio Personale;contratti-pubblici;iscrizione;media;segreteria-didattica;nuova;0.9;True;"Iscrizione di due dipendenti al corso Codice dei contratti del 18/9; confermare posti e inviare modulo.";Buongiorno, vorremmo iscrivere due dipendenti al corso sul nuovo Codice dei contratti del 18 settembre. Potete confermare la disponibilità dei posti e inviarci il modulo? Grazie.;"Gentile Ufficio Personale,

Per procedere con la verifica della disponibilità e l'invio del modulo per il corso sul nuovo Codice dei contratti del 18/9, Le chiediamo gentilmente di fornirci i nomi completi e gli indirizzi email dei due dipendenti e un eventuale riferimento d'ordine o partita IVA per la fatturazione. Verificheremo i posti e Le invieremo il modulo al più presto.

Cordiali saluti,
Segreteria Promo PA"
R002;email;Dott.ssa R. (Provincia);anticorruzione;attestato;alta;segreteria-didattica;nuova;0.93;True;"Richiesta reinvio attestato corso Anticorruzione 25/06; necessario per fascicolo formativo entro fine mese.";Ho partecipato al corso Anticorruzione del 25 giugno ma non ho mai ricevuto l'attestato. Mi serve per il fascicolo formativo entro fine mese.;"Gentile Dott.ssa R.,

Ci dispiace per il disagio. Per procedere al reinvio dell’attestato relativo al corso Anticorruzione del 25 giugno, La preghiamo di confermare l’indirizzo email a cui desidera riceverlo o indicarci un indirizzo alternativo. Provvederemo all’invio non appena riceveremo la conferma.

Cordiali saluti,
Segreteria Promo PA"
R003;email;Ragioneria Comune di Empoli;bilancio-enti-locali;fatturazione;media;amministrazione;nuova;0.9;True;"Ragioneria segnala fattura 2026/311 per Bilancio enti locali senza CIG; pagamento bloccato.";Con riferimento alla fattura n. 2026/311 relativa al corso Bilancio enti locali, segnaliamo che manca il CIG. Senza CIG non possiamo procedere al pagamento.;"Spett.le Ragioneria del Comune di Empoli,

abbiamo preso nota che la fattura n. 2026/311 (corso Bilancio enti locali) è priva di CIG e che il pagamento è bloccato. Per procedere, preferisce che noi: 1) le comunichiamo il CIG non appena verificato; oppure 2) emettiamo una fattura/nota di rettifica contenente il CIG? Ci indichi la soluzione preferita e l’eventuale indirizzo a cui inviarla.

Segreteria Promo PA"
R004;email;Unione Comuni Valdera;privacy-gdpr;accesso-piattaforma;alta;tutor-piattaforma;nuova;0.9;True;Corso Privacy domani: conferma presenza e invio link Zoom non ricevuto.;Salve, il corso Privacy e GDPR di domani mattina è confermato? Non abbiamo ricevuto il link Zoom.;"Buongiorno,
per verificare la conferma di partecipazione e reinviare il link Zoom del corso “Privacy e GDPR” di domani mattina, può cortesemente indicarci l’indirizzo email usato per l’iscrizione, il numero d’ordine o il nome del partecipante? Non appena riceviamo questi dati provvederemo a controllare l’iscrizione e a inviare il link.

Segreteria Promo PA"
R005;email;Privato cittadino;digitalizzazione-pnrr;informazioni;bassa;segreteria-didattica;nuova;0.9;True;Privato chiede se liberi professionisti possono partecipare a corsi sul PNRR.;Organizzate corsi anche per liberi professionisti che lavorano con la PA? Sono interessato al tema PNRR.;"Gentile Professionista,

Sì, organizziamo anche corsi rivolti a liberi professionisti che collaborano con la PA, inclusi temi relativi al PNRR. Per inviarLe informazioni sulle prossime edizioni e sulle modalità di partecipazione, può indicarci se preferisce formazione in presenza o online e il livello di approfondimento desiderato (base/avanzato)?

Segreteria Promo PA"
R006;email;Segretario comunale;ia-pa;contenuti;bassa;coordinamento-docenti;nuova;0.88;True;Chiede riferimento preciso della circolare AgID sui modelli generativi citata nel corso IA.;Durante il corso IA nella PA il docente ha citato una circolare AgID sull'uso dei modelli generativi. Potreste inviarmi il riferimento preciso? Non lo trovo nelle slide.;"Gentile Segretario comunale,

La ringraziamo per la segnalazione. Per individuare il riferimento preciso alla circolare AgID ci servirebbero alcuni dettagli: data o sessione della lezione, numero della slide o la frase esatta citata dal docente. In alternativa, se preferisce, possiamo contattare direttamente il docente per richiederne il riferimento: ci autorizza a farlo?

Cordiali saluti
Segreteria Promo PA"
R007;email;Ufficio Tributi, Comune di Pontedera;bilancio-enti-locali;reclamo;alta;direzione;nuova;0.88;True;"Terzo sollecito per attestato corso Bilancio; minaccia segnalazione al dirigente se non ricevuto entro venerdì.";È la terza volta che scrivo per l'attestato del corso Bilancio. Nessuna risposta. Se non arriva entro venerdì dovrò segnalarlo al mio dirigente.;"Gentile Ufficio Tributi,

Ci scusiamo per il disagio arrecato a seguito dei precedenti solleciti. Ho provveduto a inoltrare immediatamente la segnalazione alla Direzione e avvieremo la verifica sul rilascio dell'attestato del corso ""Bilancio""; Le invieremo l'attestato entro [data] e La informeremo tempestivamente di ogni aggiornamento.

Cordiali saluti,
Segreteria Promo PA"
R008;email;Comune di Lucca;contratti-pubblici;iscrizione;media;segreteria-didattica;nuova;0.9;True;Richiesta di sostituzione partecipante per corso Contratti del 18/9 (collega in malattia).;Il collega iscritto al corso Contratti del 18/9 è in malattia. Possiamo sostituirlo con un altro dipendente?;"Per poter valutare la richiesta di sostituzione ci invii cortesemente: nome e cognome del partecipante attualmente iscritto, nome, cognome, ruolo e indirizzo email del dipendente che subentrerebbe, e la conferma che la sostituzione riguarda il corso “Contratti” del 18/9. Se è presente un riferimento di iscrizione o fattura, lo indichi pure. Le comunicheremo l’esito e le eventuali istruzioni per procedere.

Cordiali saluti,
Segreteria Promo PA"
R009;email;Azienda sanitaria;digitalizzazione-pnrr;fatturazione;bassa;amministrazione;nuova;0.95;True;Richiesta fattura in split payment per Digitalizzazione e PNRR, intestazione sede legale anziché presidio.;Chiediamo se per il corso Digitalizzazione e PNRR sia possibile emettere fattura in split payment intestata alla nostra sede legale anziché al presidio.;"Gentile referente,

Per verificare la possibilità di emettere la fattura in split payment intestata alla sede legale per il corso Digitalizzazione e PNRR, ci occorrono: 1) dati fiscali completi (ragione sociale, P.IVA/C.F.), 2) indirizzo sede legale completo, 3) codice destinatario o PEC per fatturazione elettronica, 4) riferimento iscrizione/ordine o numero fattura da rettificare, 5) indicazione se si tratta di nuova emissione o di rettifica. La preghiamo di inviare le informazioni rispondendo a questa email.

Segreteria Promo PA"
R010;email;Ordine professionale;anticorruzione;feedback;bassa;direzione;nuova;0.95;True;"Complimenti per il corso anticorruzione di ieri; ordine professionale lo segnalerà agli iscritti.";Complimenti per il corso di ieri sull'anticorruzione: chiaro e concreto. Lo segnaleremo ai nostri iscritti.;"La ringraziamo per i gentili complimenti. Siamo lieti che il corso di ieri sull’anticorruzione sia risultato chiaro e concreto e apprezziamo la segnalazione ai vostri iscritti. Restiamo a disposizione per inviare materiale informativo o approfondimenti, se lo desidera. Cordiali saluti
Segreteria Promo PA"
